"Päivitetty","Osio","Kategoria","Nimi","URL","Lähde","Tarkistus","HTTP","Turvallisuus","Lopullinen URL","Alkuperäinen domain","Lopullinen domain","Domain vaihtui","RDAP-signaali","Sisältösignaali","Sivun otsikko","Riskipisteet","Suositus","Manuaalinen tila","Luottamustaso","Huomiot"
"10.7.2026 klo 8.49","Alueelliset uutislähteet","Alueelliset uutiset","Aamulehti","https://www.aamulehti.fi/","localServices.ts","ok","200","ok","https://www.aamulehti.fi/","aamulehti.fi","aamulehti.fi","ei","Sanoma Media Finland Oy","huomio","Tampereen ja Pirkanmaan tärkeimmät uutiset, parhaat live-lähetykset, mielenkiintoisimmat ilmiöt ja ihmiset. Lue ja katso!","35","tarkista","","","HTML-sivulta ei löytynyt otsikkoa; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 08","https://www.pirha.fi/ajankohtaista/pirha-nyt","localServices.ts","ok","200","ok","https://www.pirha.fi/ajankohtaista/pirha-nyt","pirha.fi","pirha.fi","ei","RDAP 429","huomio","Pirha nyt - pirha.fi","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 14","https://www.siunsote.fi/","localServices.ts","ok","200","ok","https://www.siunsote.fi/","siunsote.fi","siunsote.fi","ei","RDAP 429","huomio","Etusivu - Siun sote","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 14","https://www.siunsote.fi/ajankohtaista/","localServices.ts","ok","200","ok","https://www.siunsote.fi/ajankohtaista/","siunsote.fi","siunsote.fi","ei","RDAP 429","huomio","Ajankohtaista - Siun sote","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 16","https://www.hyvaep.fi/","localServices.ts","huomio","500","ok","https://www.hyvaep.fi/","hyvaep.fi","hyvaep.fi","ei","RDAP 429","ei tarkistettu","","20","tarkista","verified","A","HTTP 500; HTTP 500; Manuaalinen tila: verified"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 16","https://www.hyvaep.fi/ajankohtaista/","localServices.ts","huomio","500","ok","https://www.hyvaep.fi/ajankohtaista/","hyvaep.fi","hyvaep.fi","ei","RDAP 429","ei tarkistettu","","20","tarkista","verified","A","HTTP 500; HTTP 500; Manuaalinen tila: verified"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 19","https://pohde.fi/ajankohtaista/","localServices.ts","ok","200","ok","https://pohde.fi/ajankohtaista/","pohde.fi","pohde.fi","ei","RDAP 429","huomio","Ajankohtaista - Pohde","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 90","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut","localServices.ts","ok","200","ok","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut","hel.fi","hel.fi","ei","RDAP 429","huomio","Sosiaali- ja terveyspalvelut | Helsingin kaupunki","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 90","https://www.hel.fi/fi/uutiset","localServices.ts","ok","200","ok","https://www.hel.fi/fi/uutiset","hel.fi","hel.fi","ei","RDAP 429","huomio","Ajankohtaista | Helsingin kaupunki","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 91","https://www.ahs.ax/nyheter","localServices.ts","ok","200","ok","https://www.ahs.ax/nyheter","ahs.ax","ahs.ax","ei","RDAP 429","huomio","Nyheter | Ålands hälso- och sjukvård","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 91","https://www.aland.ax/sv","localServices.ts","ok","206","ok","https://www.aland.ax/sv","aland.ax","aland.ax","ei","RDAP 429","huomio","Startsida | Åland.ax","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","helsinki (en)","https://www.hel.fi/en/frontpage","municipalityWebsiteLocales.ts","ok","200","ok","https://www.hel.fi/en","hel.fi","hel.fi","ei","RDAP 429","huomio","Frontpage | City of Helsinki","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","juuka (en)","https://www.juuka.fi/en/web/english","municipalityWebsiteLocales.ts","huomio","404","ok","https://www.juuka.fi/en/web/english","juuka.fi","juuka.fi","ei","RDAP 429","ei tarkistettu","","70","piilota","","","HTTP 404; HTTP 404"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","jyväskylä (en)","https://www.jyvaskyla.fi/en","municipalityWebsiteLocales.ts","ok","200","ok","https://www.jyvaskyla.fi/en","jyvaskyla.fi","jyvaskyla.fi","ei","RDAP 429","huomio","City of Jyväskylä | Jyväskylä.fi","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","kemiönsaari (en)","https://en.kimitoon.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://en.kimitoon.fi/","kimitoon.fi","kimitoon.fi","ei","RDAP 429","huomio","Kimitoön","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","kouvola (en)","https://www.kouvola.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kouvola.fi/en/","kouvola.fi","kouvola.fi","ei","RDAP 429","huomio","Living in Kouvola - The City of Kouvola","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","kristiinankaupunki (en)","https://www.kristinestad.fi/start/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kristinestad.fi/start/","kristinestad.fi","kristinestad.fi","ei","RDAP 429","huomio","Start &raquo; Kristinestad in English","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","kustavi (en)","https://kustavi.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://kustavi.fi/en/","kustavi.fi","kustavi.fi","ei","RDAP 429","huomio","","35","tarkista","","","HTML-sivulta ei löytynyt otsikkoa; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
